,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14
Hgb_first,0.023272233642841762,0.021886797747981773,0.02393327833921108,0.023073377641562913,0.028130173120923925,0.025485542085678208,0.02450468413696632,0.025490418546921044,0.025215483104031607,0.02023458745898901,0.020635236220363815,0.026707386614380862,0.028690321970041534,0.021663710561848334,0.020885372961652736
PT___INR_first,0.008776282344066293,0.010099650345324266,0.008409234507553652,0.007482374120979381,0.007280141309036977,0.007643783009386103,0.00972921398142723,0.00765146367870298,0.008154917509633236,0.007775875238413863,0.00795171959113938,0.008806118407973514,0.008080680218378378,0.008777883680075541,0.007272902687151318
WBC_x_1000_first,0.01679773047291421,0.017863543026771764,0.01788051628688813,0.019404729836248552,0.02106456186489209,0.017481672656765448,0.01880136289966267,0.017643420877977163,0.020152406401746554,0.018485505379914217,0.01724916542576853,0.017765180213812588,0.017907230187460915,0.018248593202024863,0.01893593681800641
albumin_first,0.007678361817003808,0.00830002961667774,0.006382753072270401,0.010082125761282694,0.0070244777003589005,0.008235808338874582,0.00642637537154111,0.009118191136602777,0.006534590044292651,0.006708886713974103,0.006997880692680459,0.00974166916440269,0.005901921788223749,0.009583605613026317,0.006284770614759302
calcium_first,0.01217968680045029,0.011811377438770738,0.012444998722952115,0.014706022973649611,0.014018115544179787,0.013448712451714032,0.01154829616656529,0.013894696708101723,0.012330220370025569,0.012719556462079739,0.014119295879501413,0.013914103258549209,0.013936351448820416,0.012961074204243708,0.012380003297267272
creatinine_first,0.015785519011845786,0.017149744676581726,0.01921086907065159,0.015457812800180869,0.014445685410335756,0.015334858627759618,0.017267443171654084,0.01695071942430991,0.015583373840697062,0.016925867433373314,0.01761543231097685,0.016579411357701444,0.01978344291257199,0.016132805897215934,0.017266886608776958
glucose_first,0.017528862218180622,0.017668338763693864,0.02241689548980884,0.01811565872624162,0.021923501463586306,0.01760165139614877,0.01693764461729803,0.022940273093434226,0.020455926518261565,0.020539779678359946,0.018517743029153395,0.020179193703030993,0.02267686750411329,0.021642783134935263,0.016488045692417633
lactate_first,0.0023481351512051407,0.0014766814352960966,0.0013610780285000029,0.001660466504319115,0.001517246090044531,0.0011867056125931114,0.0018033659453398575,0.0017147685489332322,0.0021803801604553656,0.0012002803880547669,0.0011369848748031502,0.0017721662156541028,0.00255379044423702,0.0021675306366918017,0.0008402821850420136
magnesium_first,0.00790197209197732,0.006851813787592876,0.006096003347418607,0.0070576966659568864,0.008195233205580323,0.006562191050374668,0.008247171392584313,0.007070607782241442,0.006144834550727111,0.0056976193735766185,0.0061565029859355575,0.00792439265766571,0.006581376856165499,0.006610342499076871,0.006295763430481005
platelets_x_1000_first,0.021355089299018123,0.019784921998669856,0.02301549579806367,0.01932529398324816,0.02065062107989528,0.01880865823989114,0.017666083443349686,0.02154925504478307,0.02368596486418534,0.02315908393417385,0.018172575801079702,0.018266654764694034,0.024301058407169486,0.02493263504250661,0.020173482562245156
