wtp,comparison,p_ce
230000,ML+cEEG vs Univ AED,0.7465
230000,ML+cEEG vs ML-AED,0.8296
235000,ML-AED vs Obs,0.9986
235000,ML+cEEG vs Obs,0.9941
235000,ML+cEEG vs Univ AED,0.7493
235000,ML+cEEG vs ML-AED,0.8339
240000,ML-AED vs Obs,0.9986
240000,ML+cEEG vs Obs,0.9943
240000,ML+cEEG vs Univ AED,0.7526
240000,ML+cEEG vs ML-AED,0.8381
245000,ML-AED vs Obs,0.9986
245000,ML+cEEG vs Obs,0.9945
245000,ML+cEEG vs Univ AED,0.7552
245000,ML+cEEG vs ML-AED,0.8436
250000,ML-AED vs Obs,0.9986
250000,ML+cEEG vs Obs,0.9951
250000,ML+cEEG vs Univ AED,0.7577
250000,ML+cEEG vs ML-AED,0.8486
255000,ML-AED vs Obs,0.9987
255000,ML+cEEG vs Obs,0.9955
255000,ML+cEEG vs Univ AED,0.7601
255000,ML+cEEG vs ML-AED,0.8537
260000,ML-AED vs Obs,0.9988
260000,ML+cEEG vs Obs,0.9958
260000,ML+cEEG vs Univ AED,0.763
260000,ML+cEEG vs ML-AED,0.8577
265000,ML-AED vs Obs,0.9988
265000,ML+cEEG vs Obs,0.9959
265000,ML+cEEG vs Univ AED,0.765
265000,ML+cEEG vs ML-AED,0.8615
270000,ML-AED vs Obs,0.9988
270000,ML+cEEG vs Obs,0.9962
270000,ML+cEEG vs Univ AED,0.7676
270000,ML+cEEG vs ML-AED,0.8654
275000,ML-AED vs Obs,0.9988
275000,ML+cEEG vs Obs,0.9963
275000,ML+cEEG vs Univ AED,0.7699
275000,ML+cEEG vs ML-AED,0.8696
280000,ML-AED vs Obs,0.9988
280000,ML+cEEG vs Obs,0.9965
280000,ML+cEEG vs Univ AED,0.7718
280000,ML+cEEG vs ML-AED,0.8747
285000,ML-AED vs Obs,0.9988
285000,ML+cEEG vs Obs,0.9965
285000,ML+cEEG vs Univ AED,0.7741
285000,ML+cEEG vs ML-AED,0.8791
290000,ML-AED vs Obs,0.9988
290000,ML+cEEG vs Obs,0.9965
290000,ML+cEEG vs Univ AED,0.7768
290000,ML+cEEG vs ML-AED,0.8824
295000,ML-AED vs Obs,0.9988
295000,ML+cEEG vs Obs,0.9965
295000,ML+cEEG vs Univ AED,0.7787
295000,ML+cEEG vs ML-AED,0.8857
300000,ML-AED vs Obs,0.9988
300000,ML+cEEG vs Obs,0.9965
300000,ML+cEEG vs Univ AED,0.7808
300000,ML+cEEG vs ML-AED,0.888
