model,threshold,nb_model,nb_treat_all,nb_treat_none
bidmc_preop,0.47000000000000003,-0.004061644822123002,-0.7485236929281291,0.0
bidmc_preop,0.48,-0.002818555490311215,-0.7821491485613623,0.0
bidmc_preop,0.49,-0.002933692560993863,-0.8170932495135458,0.0
bidmc_preop,0.5,-0.0030534351145038168,-0.8534351145038168,0.0
bidmc_preop,0.51,-0.003178065119177442,-0.8912603209222622,0.0
bidmc_preop,0.52,-0.0033078880407124687,-0.9306615776081426,0.0
bidmc_preop,0.53,-0.0017216176709436417,-0.9717394835146989,0.0
bidmc_preop,0.54,-0.0017922336541652839,-1.0146033853302359,0.0
bidmc_preop,0.55,-0.0018659881255301107,-1.0593723494486857,0.0
bidmc_preop,0.56,-0.0019430950728660655,-1.1061762664816102,0.0
bidmc_preop,0.5700000000000001,-0.0020237883898455533,-1.1551571098881595,0.0
bidmc_preop,0.58,-0.0021083242457288257,-1.2064703744093055,0.0
bidmc_preop,0.59,-0.002196983801899087,-1.2602867250046543,0.0
bidmc_preop,0.6,-0.0022900763358778622,-1.316793893129771,0.0
bidmc_preop,0.61,0.0,-1.376198864748483,0.0
bidmc_preop,0.62,0.0,-1.4387304138208115,0.0
bidmc_preop,0.63,0.0,-1.5046420466267794,0.0
bidmc_preop,0.64,0.0,-1.5742154368108567,0.0
bidmc_preop,0.65,0.0,-1.6477644492911672,0.0
bidmc_preop,0.66,0.0,-1.725639874270319,0.0
bidmc_preop,0.67,0.0,-1.8082350219754804,0.0
bidmc_preop,0.68,0.0,-1.8959923664122142,0.0
bidmc_preop,0.6900000000000001,0.0,-1.989411475006157,0.0
bidmc_preop,0.7000000000000001,0.0,-2.089058524173028,0.0
bidmc_preop,0.71,0.0,-2.19557778362727,0.0
bidmc_preop,0.72,0.0,-2.309705561613958,0.0
bidmc_preop,0.73,0.0,-2.4322872490811416,0.0
bidmc_preop,0.74,0.0,-2.564298297122724,0.0
bidmc_preop,0.75,0.0,-2.706870229007633,0.0
bidmc_preop,0.76,0.0,-2.861323155216285,0.0
bidmc_preop,0.77,0.0,-3.0292067706604713,0.0
bidmc_preop,0.78,0.0,-3.2123525329632203,0.0
bidmc_preop,0.79,0.0,-3.412940748818612,0.0
bidmc_preop,0.8,0.0,-3.6335877862595427,0.0
bidmc_preop,0.81,0.0,-3.8774608276416243,0.0
bidmc_preop,0.8200000000000001,0.0,-4.148430873621715,0.0
bidmc_preop,0.8300000000000001,0.0,-4.45127974854064,0.0
bidmc_preop,0.84,0.0,-4.791984732824427,0.0
bidmc_preop,0.85,0.0,-5.1781170483460555,0.0
bidmc_preop,0.86,0.0,-5.619411123227917,0.0
bidmc_preop,0.87,0.0,-6.128596594245449,0.0
bidmc_preop,0.88,0.0,-6.72264631043257,0.0
bidmc_preop,0.89,0.0,-7.424705065926441,0.0
bidmc_preop,0.9,0.0,-8.267175572519086,0.0
eicu_setA,0.01,0.07634361871650007,0.07662958510416137,0.0
eicu_setA,0.02,0.06650803364743177,0.06720743801338751,0.0
eicu_setA,0.03,0.05554030104091261,0.05759101984857706,0.0
eicu_setA,0.04,0.046307506053268756,0.047774259638666404,0.0
eicu_setA,0.05,0.039044808893158575,0.03775083079275763,0.0
eicu_setA,0.06,0.03396963656610249,0.027514137503318895,0.0
eicu_setA,0.07,0.02843884746563806,0.01705730027217177,0.0
eicu_setA,0.08,0.022893098058904993,0.006373140492521467,0.0
eicu_setA,0.09,0.01781288184715267,-0.004545835985582683,0.0
eicu_setA,0.1,0.012665300800894015,-0.015707456385422508,0.0
eicu_setA,0.11,0.00809055731927566,-0.02711989971559578,0.0
eicu_setA,0.12,0.0037674190216563166,-0.03879171675781845,0.0
