p_sz,sens,spec,p_se,rrr,pe_d,pe_u,pd_ceeg,pd_clin,c_aed_d,c_aed_a,c_aed_c,aed_d,c_aed_ac,c_aed_cc,aed_dc,c_se_e,c_se_l,icu_red,c_ceeg,c_hosp,c_icu,c_szwu,c_epi,u_dec,p_rec,pd_b,pd_e,ceeg_d,cost_obs,qaly_obs,cost_aed,qaly_aed,cost_mla,qaly_mla,cost_mlg,qaly_mlg
0.08890163367746791,0.7638160026865393,0.4806553752674507,0.1340457669037974,0.4114661686952065,0.05495567365107653,0.16933215714365996,0.9885371821096043,0.20680670357385345,177.06995459060474,1086.7169429914825,300.19561850940806,116.23900193075538,1316.6231679522984,70.42631337200322,34.15268802529817,14188.598126297367,21628.94201232911,0.3051669308012144,2010.3018502278853,3699.3441975734745,4627.424831676367,1903.001864683339,7861.724923269411,0.07832546307134586,0.10474512314051737,0.01867302079953714,0.01820811527901376,4.0,6131.150174181383,6.639609998872091,5172.371818407516,6.649435146299958,5100.462409457412,6.648533276668543,8188.66379054185,6.657589378185788
0.18701058487554695,0.8626027538546441,0.5009479223104252,0.09376295589782072,0.35297792844859216,0.02643705030453792,0.1373675079183694,0.9835752884620144,0.2443857271717736,248.07378538531663,1353.9771857185299,502.36837079076224,44.51261686110432,1524.6734386371604,136.68012303829886,27.392552226008814,12105.178113068623,29291.43243939669,1.1838278612422655,1263.37523731032,2474.244300004759,2687.0479935707745,2517.210862689708,9691.061207713612,0.12108991064571172,0.22549936362921724,0.026378371071505,0.0189884700472134,4.0,10029.02935827493,6.373517068881815,8593.422692935539,6.404680350840659,8218.682913683166,6.4011194935526845,8006.117903742952,6.420385184598993
0.13394826554534386,0.7576450500622711,0.5130327101374308,0.14858569452666523,0.37850773276828337,0.06628569779285803,0.13174441944374388,0.9623478453676545,0.4176153152838958,190.28735830170487,1514.7191257937811,350.9248363533818,36.4478493274289,1710.8409128066778,104.16847218771008,9.592018917917576,13184.215938461832,29089.64720997961,1.057094409327186,1400.3154936021615,3306.4088906260904,4126.261818560132,1490.707249784549,10784.074733507932,0.07302973195055712,0.33137029438080234,0.011966984977967289,0.03276449753049176,3.0,8455.871453078395,6.780085206929796,7311.19004124251,6.811712252334992,7156.655887182169,6.804515453342022,7531.930304747608,6.8166715572630725
0.1329647542273178,0.8804561693166848,0.5143690043464408,0.06931357374078195,0.510589293079504,0.04873768003213522,0.06685720041927222,0.8975753511615889,0.36376368035044937,124.7100437871308,1590.2775372026792,205.75556922283798,74.41818778096749,1194.3753733694523,113.52023954614533,18.418342675741986,11634.088738613498,34966.6548538702,1.386950223497112,1444.168176552063,4165.348499532814,2479.361105516138,2409.0755159821156,12293.578170375107,0.1985417130639132,0.27222047613071343,0.0483427954858197,0.03296400632680702,4.0,9199.100238761626,5.825405847477128,6422.881301097479,5.866298101482368,6147.238251435037,5.862805596047067,7456.973640430013,5.872570864154897
0.11314161128839552,0.8597832538742985,0.4823415457087265,0.07057108688348829,0.31680612765062854,0.029661525183903956,0.07773954355184555,0.9810574137032801,0.36517497931164017,231.3591231747417,1570.4020375337955,346.61467704580235,77.53924170947313,877.8095690182342,173.0192553347148,19.588320278331384,7400.876612757039,50088.109742213965,0.32212536345023257,666.2707620173578,2765.352876244777,2889.875345712331,3313.055310866301,9553.38830095706,0.05638277264701648,0.0894250307956742,0.008598121782821514,0.017067733390557976,4.0,6067.950903253767,6.930986650532938,6293.962712574148,6.938104570234064,5660.419935033351,6.938395651068674,5081.2814942575515,6.945999704321996
0.1095769527602662,0.8011446950442515,0.49696475833230147,0.08157806781351426,0.48688400399301923,0.04563100352340661,0.09957994506445526,0.9769868753461121,0.2539166953749617,177.64253960100785,1112.9869590887852,308.3303888594921,93.8996920422593,1350.8271520732799,104.53025516206829,36.49561890822652,16715.6976700912,31300.56844405198,1.3621115858721609,1152.425313698467,3291.7361747107598,5602.519999635867,2345.663816463131,18715.80201405852,0.09194544936537954,0.19443680905229624,0.0035454537383084084,0.018992470208142202,3.0,7513.18591789586,7.067369727676451,5454.095762996042,7.086395302539577,5489.123210179909,7.083977723063179,5750.359732135498,7.091493116135497
0.11598116981208408,0.7867874566844819,0.517090112981267,0.07465241623036417,0.37816092125345485,0.04794016750694497,0.11474860911340125,0.9529356729876578,0.22430449355218138,159.290293702326,1417.7180815719964,242.27089122304093,104.68038852229546,1334.3481671995214,208.7823295486053,17.549022285206497,11295.580217065948,41844.38064510455,0.5175857505190228,1009.6833314717286,4135.406678829556,8267.866406867415,1484.550787784305,17933.293265324697,0.1850136917215524,0.09132374841303413,0.09016082239390927,0.011921047372750673,5.0,8690.661273200485,4.969017052306065,7223.472066322631,4.98102319180788,7097.5758633505475,4.980004190268533,7639.654807806646,4.9884982675467056
0.17850488016220378,0.8444931520867393,0.5333610825305934,0.09431737385349942,0.6162514386936235,0.03652092368417607,0.16232023257581013,0.9464413303268742,0.3000135165660726,242.15548993259947,1581.3331844552335,327.43236003962903,95.63981664108339,1060.84316969891,89.05989133307646,16.657334471428463,14396.111086428486,43849.17510731592,0.7712820145221035,1320.958773234831,3528.644682079918,6083.1585751112125,2449.598423800547,14779.026368936276,0.0727702599618247,0.30602933404288724,0.024155567248042846,0.008253897799850472,4.0,13643.8651251238,6.456861444488661,7386.7346468519645,6.495772614088896,7742.103759482567,6.491348352069319,7870.134611541963,6.5023749037752845
0.17161292789927235,0.8832328006812223,0.5226336350438998,0.13543584017209157,0.5546723522348007,0.02149178221083543,0.129596116127856,0.9801475865146867,0.26986321633287785,198.4023339550735,1715.3924734660422,371.40969190674423,83.47869562832014,652.5100978559525,65.65166986131976,11.776469391557882,11038.39130258972,39754.34362431951,0.3727568906272861,1007.5797741244694,3575.030463386379,4588.474099811098,2249.4296039416095,11955.624858288806,0.10683019345219359,0.19617397348742358,0.030021450958532918,0.027410414563043422,2.0,12119.450926581238,6.281108744839994,7682.331072668048,6.327056703156427,7482.122223820701,6.323229392782756,5469.537850178242,6.337799736444162
0.1256966122233784,0.8442777421687725,0.4742434613622115,0.16885520931000653,0.40871701690417717,0.029695172851965733,0.2017762933752639,0.9928044896350964,0.3465653695474819,231.17232452723218,2020.4155027150853,474.72133925315336,77.40579528432212,1481.3389065422857,99.201149581955,13.324716851838332,14770.60862383467,40408.272309714324,0.895546491395083,1232.2886218406768,2749.2625615715133,6319.577668262192,718.0540434620995,25816.307298387652,0.12469974361897353,0.19510984292176792,0.027204777651324383,0.03093470218306049,4.0,9463.261409503531,6.3656411365018215,8321.7746025223,6.394512953388994,7790.295567285717,6.391198135365821,7029.411838572652,6.408877258147663
0.09153265575340995,0.8457813845084189,0.4931954583782031,0.08174027723724048,0.44922668668849713,0.028152802445363608,0.13697230907140126,0.9656568516250161,0.26492624010057547,249.57443216942696,815.3340225833593,419.0700075683703,94.79864292017223,2687.3725852566436,192.23017104088916,27.72464887162834,12061.90117418354,32221.258227277987,1.4894935537680334,1359.626444366577,4606.542994294464,5877.619550011688,2385.4984976475857,9374.756920547303,0.13338161073136418,0.11893048206036487,0.009755162147173856,0.044775122141651705,5.0,7190.570005848261,6.868141609223028,5444.352529040516,6.892097855683253,5306.661505124156,6.890002983068103,8150.130533907273,6.902194778251373
0.0813877104221439,0.8143459750528009,0.5115048935898365,0.05105710148593565,0.25492880069098295,0.011585610528797426,0.08709896364161507,0.9682275294455307,0.36457441778657235,210.5728368252698,571.0194576378863,304.7974613051177,37.50422668953249,765.8595088716135,211.9880439032261,18.85070051237849,15379.549296701274,18792.104089515535,0.7418788634980451,1241.026355596327,4303.187650429718,4046.7438643299197,4149.189240535935,20095.68087638443,0.1075014190115762,0.1500849848527038,0.039149565423508004,0.006567395855976527,2.0,6134.48679026029,6.1141252670791575,5657.019185732832,6.118209770795506,5470.473257282252,6.118066598467859,5184.7966071141,6.122948494677014
0.09167336569495405,0.8759607503109375,0.5205236108953151,0.05424765896443784,0.4061259893817698,0.047416649831877225,0.09127210888296271,0.9514318509006505,0.31867808309096685,194.06619510291944,1396.3195547337093,561.3384694687383,40.481565307830536,1344.3899625896076,178.02500604616304,18.188294866948045,10023.489022084692,60836.573714900485,1.4400021246890493,1191.873400578545,3852.3490785170857,6497.956358155992,3504.188010244513,23271.031537018283,0.140591699746794,0.0817950538111372,0.03765774642047099,0.04991485245373058,4.0,6765.962416193167,6.117730994637188,6169.853455102215,6.139054005246686,5518.878201130879,6.137207960042289,5987.622527259166,6.145288230366608
0.08839827773958965,0.7915440153772286,0.5246787480904948,0.10026809610444669,0.27938545344823396,0.03164192140591209,0.07475120890593606,0.9648636370472098,0.15776242740163485,240.37835778964944,2312.6261704061835,430.80353525215975,38.203640552984155,1752.9901646031492,144.14180109639844,18.991082482759722,14734.884055607872,40757.364926247035,1.3653140108566648,1408.8166322155048,2916.5678305381357,6971.585687602091,1716.2476524706235,14021.95972697508,0.17943895624322428,0.16726494682141338,0.02613571061846342,0.02990483402867273,3.0,5252.376320405701,6.423489633771921,6768.7468438963815,6.435845599332497,5642.510322835866,6.43387337277671,5580.76683402064,6.442069834132756
0.062197560363988665,0.7860486900934086,0.4611484621088722,0.05564872357975677,0.297081677868265,0.02078870142681365,0.19803144718959903,0.9840409118340263,0.3043787725129578,257.8371978945204,1816.0038904947648,377.3931151950854,106.29773757169356,1035.277072801771,129.79258091098572,31.83454413818773,19382.839120794164,52924.3751948873,1.071364517200298,2965.191232547461,2294.6924442984223,3728.2037401648167,1982.6752545637828,10264.55346976357,0.17111710646152323,0.08035033945335744,0.016886974841258475,0.015438764420623217,3.0,3224.791333418183,6.697102111621645,4717.999116895641,6.700728450618076,3880.275113604922,6.701302846198087,7209.209260548771,6.710525741133688
0.1291963375007096,0.8355779357738445,0.5152829821765106,0.10375801911302245,0.36049342228381415,0.02234256530169013,0.13553521677446012,0.8905786987106321,0.45995976354308793,190.27835039609943,1826.7632529520513,277.4308088688802,68.48910878011966,1297.5336424725442,191.60062655695066,29.32265140471022,18578.044109595463,35850.389407176415,0.9470019508283972,1044.4264172556195,4898.318327594127,3319.176914097458,4043.3572477553403,14319.010375260776,0.1519227827387156,0.09086544511386754,0.038908193545476824,0.037804458873292444,4.0,10627.491927025409,6.07024630374846,9090.823404175442,6.0931728820782185,8692.453227532258,6.090549851894444,8410.189518978787,6.102957850729296
0.08560753313521077,0.8987160492990831,0.4914165201192921,0.04819923007083259,0.2890766404079076,0.03709621070469223,0.07866503444077447,0.9825524985582395,0.20194952594078244,200.54465519414686,1424.180331015446,361.2599596673747,94.35183839333062,967.2581923437725,195.412692670479,23.026407941298494,15131.994226309607,40021.56526982306,0.7978224066313983,1974.4459922868978,2814.5992082281446,5012.367751340557,1200.0167954534768,8690.15008579148,0.09118553651913773,0.10874916892831601,0.006148461689817485,0.003470626261522124,2.0,4428.388577349675,7.016601603627584,5134.229830865645,7.017955546594613,4404.270525309874,7.019662717210216,4787.160012425458,7.025782634234047
0.09093144318642922,0.8497576767329581,0.4828509722468515,0.1032286389132927,0.4800084543892504,0.018003841775837748,0.1334829462039396,0.8911465218968746,0.3530869223249995,228.84388686619533,3530.2487143225976,264.64317046032187,73.69236762002163,1277.3451526616182,62.56877298805443,10.00601733031505,6689.6460664526885,16371.490209368672,1.2778511312224472,1073.7576257102914,3670.19613081822,6048.592483758007,2413.1586806488917,17102.369035319334,0.18700716598431522,0.10480561219301608,0.015276400681815835,0.016444763092495537,3.0,6234.3369265163055,6.729249486750217,7265.5382659265,6.746861403361576,5943.975078500127,6.745436275424049,4992.526923073403,6.753492950389236
0.16277818880662298,0.9117069480159214,0.4925820846923617,0.09205955001995782,0.41696540494280643,0.016019778943826956,0.17761536646068543,0.8973195182740911,0.3294533375704678,176.64397316361115,2416.2402411773537,427.5992722049904,108.26599618132462,1343.3016892263126,155.79763641478027,40.18516895801919,8720.090853797155,31224.140580815954,0.8690910977104639,1000.2756009777058,3533.066070185269,8340.809802596583,2393.161949189712,11124.692071228475,0.0845154731086009,0.17738437080527034,0.04022411406435418,0.01985145797479652,5.0,10870.114862021499,6.038798206347979,9358.136503349842,6.063132197605264,8519.261656286857,6.062991665971885,7663.860093341091,6.079654417877983
0.1816668248363043,0.8709151788642856,0.5082925581042574,0.12247984903361647,0.25664932400670604,0.02311569815193533,0.0653053052935786,0.9405024419169002,0.2620318280794478,169.1112919012337,2034.7657609163969,188.7563110091444,63.342999699920085,1416.69540287835,125.88189557376501,12.947920697637356,15917.71396616765,26408.62053598717,1.0691348065502682,1743.5891529295664,3707.650675397245,5605.325555438147,2340.062086122301,14094.052977589516,0.14486693520361796,0.07707959494175098,0.027138577603010014,0.035867639858711074,4.0,11940.50661603584,6.353725418145422,11268.617028559416,6.374558356976938,10662.869926129104,6.37294620874892,10534.489726279546,6.390049380997841
0.08373921677377526,0.8304241288673778,0.5079002462925246,0.12117857708653786,0.4122931377436137,0.021578416059667465,0.1851685600631134,0.9236883882901803,0.18952797830354576,164.73699621865637,1099.8917075577956,278.1448536924681,85.23036099174179,2223.0441024300967,90.22987418542225,37.34519602998092,17405.41277693464,34489.98611816939,0.6087968246339798,898.1969710902631,3619.4097531448974,7650.470723337282,2647.6590174672715,11413.769672117563,0.13301470548304756,0.05950272734067484,0.029046514614806125,0.02179552024837244,3.0,6233.241630270521,6.355147522556504,5206.092437681089,6.368081283163344,4952.022602675532,6.367335747015089,5270.759856529348,6.377013362931042
